"What is your current religion or belief, if any?"

Respondents,Response Date,Responses,Tags

1,Jun 30 2020 06:49 AM,None ,
2,Jun 28 2020 11:59 AM,Cristian,
3,Jun 28 2020 11:55 AM,christian,
4,Jun 27 2020 11:21 PM,in energy,
5,Jun 27 2020 04:13 PM,Spiritual,
6,Jun 26 2020 04:14 PM,Not religious,
7,Jun 26 2020 11:59 AM,"Sort of like Spinoza, pantheism",
8,Jun 26 2020 11:05 AM,Sort of like Spinoza,
9,Jun 24 2020 12:32 PM,Jedi. ,
10,Jun 24 2020 07:51 AM,close to buddhism and non-duality,
11,Jun 24 2020 03:34 AM,spiritualist,
12,Jun 23 2020 10:35 PM,None,
13,Jun 20 2020 01:23 PM,None,
14,Jun 19 2020 10:30 AM,"I believe in the nature of the mind, very close to the Buddhist philosophy of life",
15,Jun 19 2020 10:26 AM,"I believe in the nature of the mind, very close to Buddhist philosophy ",
16,Jun 15 2020 10:50 AM,Christian - church of England,
17,Jun 15 2020 10:02 AM,no religion,
18,Jun 14 2020 12:52 AM,Christian ,
19,Jun 12 2020 11:44 PM,N/A,
20,Jun 12 2020 03:49 PM,Atheist,
21,Jun 12 2020 09:52 AM,Lapsed Christian,
22,Jun 11 2020 02:22 AM,Hindu,
23,Jun 10 2020 07:56 PM,not,
24,Jun 10 2020 07:38 PM,no,
25,Jun 10 2020 05:39 PM,none,
26,Jun 10 2020 07:25 AM,Buddhist,
27,Jun 09 2020 06:31 PM,Nothing specific,
28,Jun 09 2020 04:40 PM,Christiam,
29,Jun 09 2020 12:15 PM,None,
30,Jun 09 2020 11:11 AM,Atheist,
31,Jun 08 2020 10:10 PM,None,
32,Jun 08 2020 10:08 PM,None,
33,Jun 08 2020 03:43 PM,christian,
34,Jun 08 2020 11:53 AM,Buddhist. Following the tradition of Thich Nhat Hanh ,
35,Jun 08 2020 08:08 AM,None ,
36,Jun 07 2020 10:26 PM,Buddhist Christian Muslim Yogi Mystic,
37,Jun 07 2020 10:15 PM,"A Buddhist, Christian, Muslim Yogi",
38,Jun 07 2020 10:14 PM,none,
39,Jun 07 2020 04:57 PM,None,
40,Jun 07 2020 11:07 AM,Buddhist ,
41,Jun 07 2020 10:50 AM,Buddhist ,
42,Jun 06 2020 02:30 PM,None,
43,Jun 06 2020 02:25 PM,Spiritual,
44,Jun 06 2020 10:48 AM,Christian ,

